config,window,start,end,rmsle,mae,wape
Base,T1,2016-10-01,2016-10-16,0.50959958923337,53.272668992096506,0.11355585182358965
Base,T2,2017-03-01,2017-03-16,0.4210275926320905,75.53477565705037,0.1546247539830886
Base,T3,2017-06-01,2017-06-16,0.39454885281079605,72.71421546731199,0.1455147187539089
Optuna,T1,2016-10-01,2016-10-16,0.4466445178391002,57.53709247816027,0.12264588336618676
Optuna,T2,2017-03-01,2017-03-16,0.42213040240002986,75.09196133426515,0.1537182833525048
Optuna,T3,2017-06-01,2017-06-16,0.39006751002126444,67.01382553984467,0.1341071744140279
